budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
64000000,"['Adventure', 'Animation', 'Fantasy']",,309809,UxMDbDUqHGHHGVtsYeNvUNUGPBjtqzzNIMBXYcNo,English,The Little Prince,"Based on the best-seller book 'The Little Prince', the movie tells the story of a little girl that lives with resignation in a world where efficiency and work are the only dogmas. Everything will change when accidentally she discovers her neighbor that will tell her about the story of the Little Prince that he once met.",,"['CityMation', 'NetFlix', 'On Entertainment', 'Onyx Films', 'Orange Studios', 'Zippcast Films']",['France'],2015/7/29,97571250,92,['English'],,Growing up isn't the problem... forgetting is.,The Little Prince,7.6,756
80000000,"['Science Fiction', 'Thriller']",,4858,XUpsDzYMq5e55cHWGvNIzNIzj2Y,English,The Invasion,"Washington, D.C. psychologist Carol Bennell and her colleague Dr. Ben Driscoll are the only two people on Earth who are aware of an epidemic running rampant through the city. They discover an alien virus aboard a crashed space shuttle that transforms anyone who comes into contact with it into unfeeling drones while they sleep. Carol realizes her son holds the key to stopping the spread of the plague and she races to find him before it is too late.",,"['Silver Pictures', 'Vertigo Entertainment', 'Village Roadshow Pictures', 'Warner Bros.']","['Australia', 'United States of America']",2007/8/17,15071514,99,"['English', 'Russian']",,Do not trust anyone. Do not show emotion. Do not fall asleep.,The Invasion,5.7,359
76000000,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",,17711,W2UcIB2NIQc55HbbQF,English,The Adventures of Rocky & Bullwinkle,"Rocky and Bullwinkle have been living off the finances made from the reruns of their cartoon show. Boris and Natasha somehow manage to crossover into reality and team up with Fearless Leader, an evil criminal turned media mogul with some evil plans up his sleeve. Rocky and Bullwinkle must stop the three of them before they wreak havoc.",,"['Capella International', 'KC Medien AG', 'Tribeca Productions', 'Universal Pictures']","['Germany', 'United States of America']",2000/6/30,35134820,88,['Russian'],,This summer it's not the same old bull.,The Adventures of Rocky & Bullwinkle,3.9,87
75000000,"['Animation', 'Family']",,328111,z2sqQbPGQUbMbTQbPHxIijqGicciK,English,The Secret Life of Pets,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",,"['Dentsu', 'Fuji Television Network', 'Illumination Entertainment', 'Universal Pictures']",['United States of America'],2016/6/18,875958308,87,['English'],,Think this is what they do all day?,The Secret Life of Pets,5.9,3462
78000000,"['Action', 'Fantasy', 'Science Fiction', 'Thriller']",,8698,ijGNeBYpijc5Tc1DWBXWij1,English,The League of Extraordinary Gentlemen,"To prevent a world war from breaking out, famous characters from Victorian literature band together to do battle against a cunning villain.",,"['Angry Films', 'International Production Company', 'JD Productions', 'Mediastream Dritte Film GmbH & Co. Beteiligungs KG', 'Twentieth Century Fox Film Corporation']","['Czech Republic', 'Germany', 'United Kingdom', 'United States of America']",2003/7/11,179265204,110,"['English', 'German', 'Italian']",,The power of seven become a league of one.,The League of Extraordinary Gentlemen,5.7,1155
76000000,"['Animation', 'Comedy', 'Family']",,93456,UxbBfszzIVYM2C5XPg,English,Despicable Me 2,Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.,,"['Illumination Entertainment', 'Universal Pictures']",['United States of America'],2013/6/25,970761885,98,['English'],,Back 2 Work,Despicable Me 2,7,4637
75000000,"['Action', 'Adventure', 'Science Fiction']",,602,XtjpcjcDpvcXM5zX5qb25zsYQ7,English,Independence Day,"On July 2, a giant alien mothership enters orbit around Earth and deploys several dozen saucer-shaped 'destroyer' spacecraft that quickly lay waste to major cities around the planet. On July 3, the United States conducts a coordinated counterattack that fails. On July 4, a plan is devised to gain access to the interior of the alien mothership in space, in order to plant a nuclear missile.",,"['Centropolis Entertainment', 'Twentieth Century Fox Film Corporation']",['United States of America'],1996/6/25,816969268,145,['English'],,Earth. Take a good look. It might be your last.,Independence Day,6.7,3260
73000000,"['Action', 'Adventure', 'Science Fiction']",,330,fBbqvvUsDiGNHsXqjbjjqe,English,The Lost World: Jurassic Park,"Four years after Jurassic Park's genetically bred dinosaurs ran amok, multimillionaire John Hammond shocks chaos theorist Ian Malcolm by revealing that Hammond has been breeding more beasties at a secret location. Malcolm, his paleontologist ladylove and a wildlife videographer join an expedition to document the lethal lizards' natural behavior in this action-packed thriller.",,"['Amblin Entertainment', 'Universal Pictures']",['United States of America'],1997/5/23,229074524,129,['English'],,Something has survived.,The Lost World: Jurassic Park,6.2,2487
75000000,"['Animation', 'Family']",,953,ijMHVbTXVGtQUk,English,Madagascar,"Zoo animals leave the comforts of man-made habitats for exotic adventure in this animated family film. After escaping from the zoo, four friends -- a lion, a hippo, a zebra and a giraffe -- are sent back to Africa. When their ship capsizes, stranding them on Madagascar, an island populated by crazy critters, the pals must adapt to jungle life and their new roles as wild animals.",,"['DreamWorks Animation', 'DreamWorks SKG', 'Pacific Data Images (PDI)']",['United States of America'],2005/5/25,532680671,86,"['English', 'French', 'Portuguese', 'Spanish', 'Thai']",,Someone's got a zoo loose.,Madagascar,6.6,3237
76000000,"['Action', 'Drama', 'Science Fiction', 'Thriller']",,9693,cvcBPGsIzUiUiHG5CQqXDTc1f1jfsU7,English,Children of Men,"In 2027, in a chaotic world in which humans can no longer procreate, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea, where her child's birth may help scientists save the future of humankind.",,"['Hit & Run Productions', 'Strike Entertainment', 'Universal Pictures']","['United Kingdom', 'United States of America']",2006/9/22,69959751,109,['English'],,The future's a thing of the past.,Children of Men,7.4,2071
75000000,"['Action', 'Adventure', 'Science Fiction']",,36657,QQq25iCtvp,English,X-Men,"Two mutants, Rogue and Wolverine, come to a private academy for their kind whose resident superhero team, the X-Men, must oppose a terrorist organization with similar powers.",,"['Bad Hat Harry Productions', ""Donners' Company"", 'Genetics Productions', 'Marvel Enterprises', 'Springwood Productions', 'Twentieth Century Fox Film Corporation']",['United States of America'],2000/7/13,296339527,104,['English'],,Evolution Begins,X-Men,6.8,4097
75000000,"['Action', 'Crime', 'Thriller']",,8909,XiTIvtcPIb7,English,Wanted,"Doormat Wesley Gibson discovers that his recently murdered father ‚Ä?who Wesley never knew ‚Ä?belonged to a secret guild of assassins. After a leather-clad sexpot drafts Wesley into the society, he hones his innate killing skills and turns avenger.",,"['Bazelevs Production', 'Kickstart Productions', 'Marc Platt Productions', 'Relativity Media', 'Revolution Sun Studios', 'Ringerike Zweite Filmproduktion', 'Spyglass Entertainment', 'Top Cow Productions', 'Universal Pictures']","['Germany', 'United States of America']",2008/6/19,258270008,110,['English'],,Choose your destiny.,Wanted,6.4,2528
75000000,"['Action', 'Adventure', 'Thriller']",,9802,5xWjiXcMGXqzTW,English,The Rock,"A group of renegade marine commandos seizes a stockpile of chemical weapons and takes over Alcatraz, with 81 tourists as hostages. Their leader demands $100 million to be paid, as restitution to families of Marines who died in covert ops ‚Ä?or he will launch 15 rockets carrying deadly VX gas into the San Francisco Bay area.",,"['Don Simpson/Jerry Bruckheimer Films', 'Hollywood Pictures']",['United States of America'],1996/6/6,335062621,136,['English'],,Alcatraz.  Only one man has ever broken out.  Now five million lives depend on two men breaking in.,The Rock,6.9,1456
80000000,"['Adventure', 'Animation', 'Comedy', 'Family']",,950,W2PXCijzGWjNNjXTHVeCMHH1QQPqqK,English,Ice Age: The Meltdown,"Diego, Manny and Sid return in this sequel to the hit animated movie Ice Age. This time around, the deep freeze is over, and the ice-covered earth is starting to melt, which will destroy the trio's cherished valley. The impending disaster prompts them to reunite and warn all the other beasts about the desperate situation.",,"['Blue Sky Studios', 'Twentieth Century Fox Animation']",['United States of America'],2006/3/23,660940780,91,['English'],,The Ice age is melting away.,Ice Age: The Meltdown,6.5,2951
75000000,"['Comedy', 'Romance']",,1824,TjCcDHQIvN1,English,50 First Dates,"Henry is a player skilled at seducing women. But when this veterinarian meets Lucy, a girl with a quirky problem when it comes to total recall, he realizes it's possible to fall in love all over again‚Ä¶and again, and again. That's because the delightful Lucy has no short-term memory, so Henry must woo her day after day until he finally sweeps her off her feet.",,"['Anonymous Content', 'Columbia Pictures Corporation', 'Flower Films (II)', 'Happy Madison Productions']",['United States of America'],2004/2/13,196482882,99,['English'],,Imagine having to win over the girl of your dreams... every friggin' day.,50 First Dates,6.6,2105
50000000,"['Comedy', 'Family', 'Music', 'Romance']",,2976,sxizNvTijNsNxGbvMDTNXVIcH5X1tN2C2PYT5bUbq5fUK,English,Hairspray,"Pleasantly plump teenager, Tracy Turnblad and her best friend, Penny Pingleton audition to be on The Corny Collins Show ‚Ä?and Tracy wins. But when scheming Amber Von Tussle and her mother plot to destroy Tracy, it turns to chaos.",,"['Ingenious Film Partners', 'New Line Cinema', 'Offspring Entertainment', 'Zadan / Meron Productions']","['United Kingdom', 'United States of America']",2007/7/13,90450008,117,['English'],,"When you follow your own beat, the world will follow you.",Hairspray,6.5,709
80000000,"['Horror', 'Mystery', 'Thriller']",,11026,ijBefjbNIeDtHT15BQfMMc2tsbBN1beL,English,Exorcist: The Beginning,"Having lived through traumatizing events during WWII, Father Lankester Merrin takes a sabbatical from the Church to conduct archaeological excavations in British-administered East Africa. Merrin unearths an ancient Byzantine church believed have been built and then immediately buried to keep down evil from the crypt below. The natives are convinced that uncovering the church has unleashed a demon, and begin to violently clash with the British military troops. As the village rapidly disintegrates into chaos and war, Merrin must face-off with the demon which has taken possession of somebody close to him.",,"['Dominion Productions', 'Morgan Creek Productions']",['United States of America'],2004/8/20,78000586,114,['English'],,Go back to where the horror began.,Exorcist: The Beginning,4.7,183
75000000,"['Crime', 'Thriller']",,75656,WGzstpYxYqDNDjQjHDY5fHsxQVfccbBk,English,Now You See Me,An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,,"['K/O Paper Products', 'SOIXAN7E QUIN5E', 'See Me Louisiana', 'Summit Entertainment']","['France', 'United States of America']",2013/5/29,117698894,115,"['English', 'French']",,4 amazing magicians. 3 impossible heists. 1 billion dollars. This is no illusion.,Now You See Me,7.3,5487
80000000,['Comedy'],,38365,HGM1iMMct2sHeu,English,Grown Ups,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",,"['Columbia Pictures', 'Happy Madison Productions', 'Relativity Media']",['United States of America'],2010/6/24,271430189,102,['English'],,Boys will be boys. . . some longer than others.,Grown Ups,6,1705
60000000,"['Comedy', 'Drama']",,594,eXj5jijpPcqM1DPMePzNcxfb52XItWIWPzWb5iPGBTW124,English,The Terminal,"Viktor Navorski is a man without a country; his plane took off just as a coup d'etat exploded in his homeland, leaving it in shambles, and now he's stranded at Kennedy Airport, where he's holding a passport that nobody recognizes. While quarantined in the transit lounge until authorities can figure out what to do with him, Viktor simply goes on living ‚Ä?and courts romance with a beautiful flight attendant.",,"['Amblin Entertainment', 'DreamWorks SKG', 'Parkes/MacDonald Productions']",['United States of America'],2004/6/17,219417255,128,"['Bulgarian', 'English', 'French', 'Russian', 'Spanish']",,Life is waiting.,The Terminal,7,1910
35000000,"['Comedy', 'Family']",,15189,DQPqMijtWYMDf1Ms5XV2,English,Hotel for Dogs,"Placed in a foster home that doesn't allow pets, 16-year-old Andi and her younger brother, Bruce, turn an abandoned hotel into a home for their dog. Soon other strays arrive, and the hotel becomes a haven for every orphaned canine in town. But the kids have to do some quick thinking to keep the cops off their tails.",,"['DreamWorks SKG', 'Nickelodeon Movies']",['United States of America'],2009/1/16,73034460,100,['English'],,No stray gets turned away.,Hotel for Dogs,5.7,202
75000000,"['Action', 'Adventure', 'Thriller']",,11678,vWQHB11f12T12UpxK,English,Vertical Limit,"Trapped near the summit of K2, the world's second-highest mountain, Annie Garrett radios to base camp for help. Brother Peter hears Annie's message and assembles a team to save her and her group before they succumb to K2's unforgiving elements. But, as Annie lays injured in an icy cavern, the rescuers face several terrifying events that could end the rescue attempt -- and their lives.",,"['Columbia Pictures Corporation', 'Global Entertainment Productions GmbH & Company Medien KG']","['New Zealand', 'Pakistan', 'United States of America']",2000/12/8,215663859,124,"['English', 'Urdu']",,The Mountain Will Decide.,Vertical Limit,5.9,283
75000000,"['Comedy', 'Drama', 'History']",,6538,WvTGxpGIGe1b2f2j2XPpNHxfUTBzGCI,English,Charlie Wilson's War,"The true story of Texas congressman Charlie Wilson's covert dealings in Afghanistan, where his efforts to assist rebels in their war with the Soviets had some unforeseen and long-reaching effects.",,"['Participant Productions', 'Playtone Production', 'Universal Pictures']",['United States of America'],2007/12/19,119000410,102,"['Arabic', 'English', 'Hebrew', 'Russian', 'Urdu']",,Based on a true story. You think we could make all this up?,Charlie Wilson's War,6.5,338
75000000,"['Action', 'Animation', 'Comedy', 'Family']",,10555,QqM2BPGDx1XxxPqND,English,Shark Tale,"Oscar is a small fish whose big aspirations often get him into trouble. Meanwhile, Lenny is a great white shark with a surprising secret that no sea creature would guess: He's a vegetarian. When a lie turns Oscar into an improbable hero and Lenny becomes an outcast, the two form an unlikely friendship.",,"['DreamWorks Animation', 'DreamWorks SKG', 'Pacific Data Images (PDI)']",['United States of America'],2004/9/20,367275019,90,['English'],,The story of what happens when one little fish tells a great white lie...,Shark Tale,5.8,1557
70000000,['Drama'],,1125,QMTiiiXpYBxbWie2ecfWs11WT5Czsx2BjMXiectetxGYDqbtiXXf7,English,Dreamgirls,"Three young women ‚Ä?Deena Jones, Effie White and Lorrell Robinson ‚Ä?dream of becoming pop stars and they get their wish when they're chosen to be backup singers for the legendary James 'Thunder' Early.",,"['DreamWorks SKG', 'Laurence Mark Productions', 'Paramount Pictures']",['United States of America'],2006/12/25,154937680,134,['English'],,One Dream Will Change Everything,Dreamgirls,6.6,284
53000000,"['Comedy', 'Crime']",,4551,PsQbbPDHqMMXci51eeesGF,English,Be Cool,"Disenchanted with the movie industry, Chili Palmer tries the music industry, meeting and romancing a widow of a music exec on the way.",,"['Double Feature Films', 'Jersey Films', 'Metro-Goldwyn-Mayer (MGM)', 'Nina Saxon Film Design']",['United States of America'],2005/3/4,95226116,118,"['English', 'Russian']",,Everyone is looking for the next big hit,Be Cool,5.4,292
70000000,"['Action', 'Drama', 'History', 'Thriller']",,612,zCii2N2iiHiiqiixQsQYfpXspHxWeqMMMvMMsi1QsWVY2VGe,English,Munich,"During the 1972 Olympic Games in Munich, eleven Israeli athletes are taken hostage and murdered by a Palestinian terrorist group known as Black September. In retaliation, the Israeli government recruits a group of Mossad agents to track down and execute those responsible for the attack.",,"['Alliance Atlantis Communications', 'Amblin Entertainment', 'Barry Mendel Productions', 'DreamWorks SKG', 'Kennedy/Marshall Company, The', 'Peninsula Films', 'Universal Pictures']","['Canada', 'France', 'United States of America']",2005/12/22,130358911,164,"['Arabic', 'English', 'French', 'German', 'Greek', 'Hebrew', 'Italian', 'Russian']",,The world was watching in 1972 as 11 Israeli athletes were murdered at the Munich Olympics. This is the story of what happened next.,Munich,6.9,696
70000000,"['Action', 'Drama', 'War']",,9567,ii1NNf2F,English,Tears of the Sun,"Navy SEAL Lieutenant A.K. Waters and his elite squadron of tactical specialists are forced to choose between their duty and their humanity, between following orders by ignoring the conflict that surrounds them, or finding the courage to follow their conscience and protect a group of innocent refugees. When the democratic government of Nigeria collapses and the country is taken over by a ruthless military dictator, Waters, a fiercely loyal and hardened veteran is dispatched on a routine mission to retrieve a Doctors Without Borders physician.",,"['Cheyenne Enterprises', 'Columbia Pictures', 'Michael Lobell Productions', 'Revolution Studios']",['United States of America'],2003/3/7,85632458,121,['English'],,He was trained to follow orders. He became a hero by defying them.,Tears of the Sun,6.4,573
75000000,"['Action', 'Comedy', 'Romance', 'Thriller']",,37821,Xi,English,Killers,"When an elite assassin marries a beautiful computer whiz after a whirlwind romance, he gives up the gun and settles down with his new bride. That is, until he learns that someone from his past has put a contract out on his life.",,"['Aversano Films', 'Katalyst Films', 'Lionsgate']",['United States of America'],2010/6/4,98159963,100,['English'],,Perfect wife. Perfect target.,Killers,5.7,772
75000000,"['Action', 'Adventure', 'Comedy']",,203801,iicsqxvWM5BcqfbTK,English,The Man from U.N.C.L.E.,"At the height of the Cold War, a mysterious criminal organization plans to use nuclear weapons and technology to upset the fragile balance of power between the United States and Soviet Union. CIA agent Napoleon Solo and KGB agent Illya Kuryakin are forced to put aside their hostilities and work together to stop the evildoers in their tracks. The duo's only lead is the daughter of a missing German scientist, whom they must find soon to prevent a global catastrophe.",,"['Davis Entertainment', 'RatPac-Dune Entertainment', 'Warner Bros.', 'Wigram Productions']",['United States of America'],2015/8/13,108145109,116,"['English', 'German', 'Italian', 'Russian']",,Saving the world never goes out of style.,The Man from U.N.C.L.E.,7.1,2265
80000000,['Comedy'],,2539,be5BfMQfMxetDvpeepzYMQWGPQjbbMMNezIXXVGNVzGUfW1zjcVisWI1TMfe3,English,Spanglish,"Mexican immigrant and single mother Flor Moreno finds housekeeping work with Deborah and John Clasky, a well-off couple with two children of their own. When Flor admits she can't handle the schedule because of her daughter, Cristina, Deborah decides they should move into the Clasky home. Cultures clash and tensions run high as Flor and the Claskys struggle to share space while raising their children on their own, and very different, terms.",,"['Columbia Pictures Corporation', 'Gracie Films']",['United States of America'],2004/12/17,55041367,130,"['English', 'Spanish']",,Every family has a hero.,Spanglish,5.8,369
75000000,"['Animation', 'Comedy', 'Family', 'Fantasy']",,9297,e1sNiPY2VMbepBu,English,Monster House,"Monsters under the bed are scary enough, but what happens when an entire house is out to get you? Three teens aim to find out when they go up against a decrepit neighboring home and unlock its frightening secrets.",,"['Amblin Entertainment', 'Columbia Pictures', 'ImageMovers', 'Sony Pictures Animation', 'Sony Pictures Entertainment']",['United States of America'],2006/7/21,140175006,91,['English'],,The House is . . . ALIVE!,Monster House,6.3,874
75000000,"['Action', 'Comedy', 'Crime', 'Romance']",,3172,M9,English,Bandits,Two bank robbers fall in love with the girl they've kidnapped.,,"['Baltimore Spring Creek Productions', 'Cheyenne Enterprises', 'Empire Pictures', 'Epsilon Motion Pictures', 'Hyde Park Entertainment', 'Lotus Pictures', 'Metro-Goldwyn-Mayer (MGM)']",['United States of America'],2001/10/12,67631903,123,['English'],,"Two's company, three's a crime.",Bandits,6.2,302
55000000,"['Action', 'Adventure', 'Drama', 'Romance']",,6520,1vQ1cIvNjtW1v4,English,First Knight,"The timeless tale of King Arthur and the legend of Camelot are retold in this passionate period drama. Arthur is reluctant to hand the crown to Lancelot, and Guinevere is torn between her loyalty to her husband and her growing love for his rival. But Lancelot must balance his loyalty to the throne with the rewards of true love.",,"['Columbia Pictures Corporation', 'First Knight Productions']",['United States of America'],1995/7/7,127600435,134,"['English', 'French']",,Their greatest battle would be for her love.,First Knight,5.9,311
75000000,"['Action', 'Drama', 'Fantasy']",,37958,QcIPHzIeeevvL,English,Immortals,"Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity.",,"['Mark Canton Productions', 'Virgin Produced']",['United States of America'],2011/11/10,226904017,110,"['English', 'Greek']",,The Gods need a hero.,Immortals,5.7,880
52000000,"['Crime', 'Drama', 'Mystery', 'Thriller']",,2026,YqGTqMQNqzpWYz7,English,Hostage,"When a mafia accountant is taken hostage on his beat, a police officer ‚Ä?wracked by guilt from a prior stint as a negotiator ‚Ä?must negotiate the standoff, even as his own family is held captive by the mob.",,"['Cheyenne Enterprises', 'Equity Pictures Medienfonds GmbH & Co. KG II', 'Hostage GmbH', 'Miramax Films', 'Stratus Film Co.', 'Syndicate Films International', 'Yari Film Group']","['Germany', 'United States of America']",2005/3/9,77944725,113,['English'],,Every Second Counts,Hostage,6.2,512
75000000,"['Action', 'Adventure', 'Animation', 'Family', 'Science Fiction']",,7450,XtxzHGYPPxHvPZ,English,Titan A.E.,"A young man finds out that he holds the key to restoring hope and ensuring survival for the human race, while an alien species called the Dredge are bent on mankind's destruction.",,"['David Kirschner Productions', 'Fox Animation Studios', 'Twentieth Century Fox Film Corporation']",['United States of America'],2000/6/16,36754634,94,"['Chinese', 'English']",,"When Earth Ends, The Adventure Begins.",Titan A.E.,6.3,313
75000000,"['Action', 'Adventure', 'Comedy', 'Thriller']",,11375,W5Ie3,English,Hollywood Homicide,"Joe Gavilan (Harrison Ford) and his new partner K. C. Calden (Josh Hartnett), are detectives on the beat in Tinseltown. Neither one of them really wants to be a cop, Gavilan moonlights as a real estate broker, and Calden is an aspiring actor moonlighting as a yoga instructor. When the two are assigned a big case they must work out whether they want to solve the case or follow their hearts.",,"['Columbia Pictures', 'Revolution Studios']",['United States of America'],2003/6/9,51142659,116,['English'],,,Hollywood Homicide,5,166
75000000,"['Action', 'Science Fiction', 'War']",,9425,MMYq1CeMn,English,Soldier,"Sergeant Todd is a veteran soldier for an elite group of the armed forces. After being defeated by a new breed of genetically engineered soldiers, he is dumped on a waste planet and left for dead. He soon interacts with a group of crash survivors who lead out a peaceful existence. The peace is broken as the new soldiers land on the planet to eliminate the colony, which Sergeant Todd must defend.",,"['Impact Pictures', 'Jerry Weintraub Productions', 'Morgan Creek Productions', 'Warner Bros.']",['United States of America'],1998/10/23,14567883,99,['English'],,"Left for dead on a remote planet for obsolete machines and people, a fallen hero has one last battle to fight",Soldier,6.1,221
5802422,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",,25769,XYPifDWeze1vGQCfUe5zt1k,English,Carriers,"Four friends fleeing a viral pandemic soon learn they are more dangerous than any virus.A deadly virus has spread across the globe. Contagion is everywhere, no one is safe and no one can be trusted. Four young attractive people race through the back roads of the American West to the pounding beat of a vacation soundtrack. Their aim is to retreat to secluded utopian beach in the Gulf of Mexico, where they could peacefully wait out the pandemic and survive the apocalyptic disease. Their plans take a grim turn when their car breaks down on an isolated road starting a chain of events that will seal the fate of each of them in an inexorable and horrifying voyage of hell through a western landscape populated by only the hideous dead or the twisted living.",,"['Ivy Boy Productions', 'Likely Story', 'Paramount Vantage', 'This Is That Productions']",['United States of America'],2009/9/4,5802422,84,['English'],,"The rules are simple. You break them, you die...",Carriers,5.8,282
75000000,"['Action', 'Adventure', 'Animation', 'Comedy', 'Fantasy']",,23685,YUbec2pBch,English,Monkeybone,"After a car crash sends repressed cartoonist Stu Miley (Fraser) into a coma, he and the mischievous Monkeybone, his hilariously horny alter-ego, wake up in a wacked-out waystation for lost souls. When Monkeybone takes over Stu's body and escapes to wreak havoc on the real world, Stu has to find a way to stop him before his sister pulls the plug on reality forever!",,"['1492 Pictures', 'Twentieth Century Fox Film Corporation', 'Twitching Image Studio']",['United States of America'],2001/2/23,5409517,93,['English'],,"If It Yells, If It Swings, It's Got To Be Monkeybone!",Monkeybone,4.3,78
45000000,"['Action', 'Adventure', 'Drama', 'Thriller']",,11866,Gsfb2VI1c2jb1cqbt,English,Flight of the Phoenix,"When an Amacor oil rig in the Gobi Desert of Mongolia proves unproductive, Captain Frank Towns and copilot ""A.J."" are sent to shut the operation down. However, on their way to Beijing, a major dust storm forces them to ditch their C-119 Flying Boxcar in an uncharted area of the desert.",,"['Aldrich Group', 'Davis Entertainment', 'Optional Pictures', 'Twentieth Century Fox Film Corporation']",['United States of America'],2004/12/17,21009180,113,['English'],,"Out of the ashes, hope will rise.",Flight of the Phoenix,5.7,276
75000000,"['Drama', 'Science Fiction', 'Thriller']",,9741,fsTQPqpITfbNCbIiiB,English,Unbreakable,"An ordinary man makes an extraordinary discovery when a train accident leaves his fellow passengers dead ‚Ä?and him unscathed. The answer to this mystery could lie with the mysterious Elijah Price, a man who suffers from a disease that renders his bones as fragile as glass.",,"['Barry Mendel Productions', 'Blinding Edge Pictures', 'Limited Edition Productions Inc.', 'Touchstone Pictures']",['United States of America'],2000/11/13,248118121,106,['English'],,Some things are only revealed by accident.,Unbreakable,6.9,1946
74000000,"['Adventure', 'Animation', 'Comedy', 'Family']",,211672,UxV5fGxXX2CGl,English,Minions,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",,"['Illumination Entertainment', 'Universal Pictures']",['United States of America'],2015/6/17,1156730962,91,['English'],,"Before Gru, they had a history of bad bosses",Minions,6.4,4571
82000000,"['Action', 'Fantasy', 'Thriller']",,23629,iibCpfiN5cTX15eTCBHi1zXBUH3,English,Sucker Punch,"A young girl is institutionalized by her abusive stepfather. Retreating to an alternative reality as a coping strategy, she envisions a plan which will help her escape from the mental facility.",,"['Cruel and Unusual Films', 'Legendary Pictures', 'Lennox House Films', 'Warner Bros.']",['United States of America'],2011/3/24,89792502,110,"['English', 'German']",,You will be unprepared,Sucker Punch,5.9,1623
73000000,"['Crime', 'Mystery']",,8688,NTsiDYqvtqxtpHsWfYL,English,Snake Eyes,"All bets are off when corrupt homicide cop Rick Santoro witnesses a murder during a boxing match. It's up to him and lifelong friend and naval intelligence agent Kevin Dunne to uncover the conspiracy behind the killing. At every turn, Santoro makes increasingly shocking discoveries that even he can't turn a blind eye to.",,"['DeBart', ""Mel's Cite du Cinema"", 'Paramount Pictures', 'Touchstone Pictures']","['Canada', 'United States of America']",1998/8/7,103891409,98,"['Czech', 'English']",,Believe everything except your eyes.,Snake Eyes,5.8,327
75000000,['Science Fiction'],,10153,XUQzXNNfPiiesPMVWbpiMn,English,Sphere,"The OSSA discovers a spacecraft thought to be at least 300 years old at the bottom of the ocean. Immediately following the discovery, they decide to send a team down to the depths of the ocean to study the space craft.They are the best of best, smart and logical, and the perfect choice to learn more about the spacecraft.",,"['Baltimore Pictures', 'Constant c Productions', 'Punch Productions', 'Warner Bros.']",['United States of America'],1998/2/13,13100000,134,['English'],,"A thousand feet beneath the sea, the blackest holes are in the mind...",Sphere,5.8,476
73000000,"['Animation', 'Family']",,153518,UxbpGM2UjsTGNUza,English,The Angry Birds Movie,"An island populated entirely by happy, flightless birds or almost entirely. In this paradise, Red, a bird with a temper problem, speedy Chuck, and the volatile Bomb have always been outsiders. But when the island is visited by mysterious green piggies, it‚Äôs up to these unlikely outcasts to figure out what the pigs are up to.",,"['Columbia Pictures', 'Rovio Animation', 'Rovio Entertainment', 'Rovio Mobile', 'Sony Pictures Imageworks (SPI)']","['Finland', 'United States of America']",2016/5/11,349779543,97,['English'],,Why so angry?,The Angry Birds Movie,5.9,1022
70000000,"['Adventure', 'Comedy', 'Romance']",,8676,MsNBCsq5DxQHPNv1PWisBiiU2GYN5QDIv1NNVYWBbPVtZ,English,Fool's Gold,"Treasure hunter Ben ""Finn"" Finnegan has sunk his marriage to Tess and his trusty boat in his obsessive quest to find the legendary Queen's Dowry. When he finds a vital clue that may finally pinpoint the treasure's whereabouts, he drags Tess and her boss, billionaire Nigel Honeycutt, along on the hunt. But Finn is not the only one interested in the gold; his former mentor-turned-enemy Moe Fitch will stop at nothing to beat him to it.",,"['De Line Pictures', 'Warner Bros.']",['United States of America'],2008/2/7,111231041,112,['English'],,This February True Love Takes a Dive.,Fool's Gold,5.4,444
75000000,"['Comedy', 'Drama']",,20829,HxMVsMCzzX7,English,Funny People,"Famous and wealthy funnyman George Simmons doesn't give much thought to how he treats people until a doctor delivers stunning health news, forcing George to reevaluate his priorities with a little help from aspiring stand-up comic Ira.",,"['Apatow Productions', 'Columbia Pictures', 'Happy Madison Productions', 'Madison 23', 'Relativity Media', 'Universal Pictures']",['United States of America'],2009/7/31,61458982,146,['English'],,"George Simmons was prepared to die, but then a funny thing happened.",Funny People,5.7,390
70000000,"['Action', 'Drama', 'Thriller']",,4349,Bi11eccqIcXfQTINY5UBBsMCBvHYPYu,English,The Kingdom,A team of U.S. government agents is sent to investigate the bombing of an American facility in the Middle East.,,"['FilmWorks', 'Forward Pass', 'MDBF Zweite Filmgesellschaft', 'Relativity Media', 'Universal Pictures']","['Germany', 'United States of America']",2007/8/22,86658558,110,"['Arabic', 'English']",,How do you stop an enemy who isn't afraid to die?,The Kingdom,6.5,513
